"ItemTitle","IMDBid","Rating","Rated.Date","Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","totalSeasons","Internet Movie Database","Metacritic","Rotten Tomatoes","Rated.Year"
"Topsy-Turvy","tt0151568","6",2022-01-13,"Topsy-Turvy","1999","R",2000,"160 min","Biography, Comedy, Drama","Mike Leigh","Mike Leigh","Jim Broadbent, Allan Corduner, Dexter Fletcher","Set in the 1880s, the story of how, during a creative dry spell, the partnership of the legendary musical/theatrical writers Gilbert and Sullivan almost dissolves, before they turn it all around and write the Mikado.","English, French, German, Italian, Japanese","United Kingdom, United States","Won 2 Oscars. 13 wins & 28 nominations total","https://m.media-amazon.com/images/M/MV5BZTRhNzBiZjUtZWExZi00NDEwLWIzYjUtNjhhOWVjODkzYjljXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg","90","7.4","12,335","tt0151568","movie",NA,"7.4/10","90/100","89%","2022.13"
"It's a Mad Mad Mad Mad World","tt0057193","5",2022-01-13,"It's a Mad Mad Mad Mad World","1963","G",1963,"210 min","Action, Adventure, Comedy","Stanley Kramer","William Rose, Tania Rose","Spencer Tracy, Milton Berle, Ethel Merman","A group of motorists witnesses a car crash in the California desert, and after the driver's dying words indicate the location of a hidden stash of loot, they turn against each in a race across the state to get to it.","English, Chinese","United States","Won 1 Oscar. 3 wins & 10 nominations total","https://m.media-amazon.com/images/M/MV5BN2YyYjUzYmMtZDNmMy00ODRmLWExOTYtMzg5NzQ5NzZhNjA1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","59","7.5","40,506","tt0057193","movie",NA,"7.5/10","59/100","70%","2022.13"
"Chinatown","tt0071315","8",2022-01-13,"Chinatown","1974","R",1974,"130 min","Drama, Mystery, Thriller","Roman Polanski","Robert Towne, Roman Polanski","Jack Nicholson, Faye Dunaway, John Huston","A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.","English, Cantonese, Spanish","United States","Won 1 Oscar. 21 wins & 24 nominations total","https://m.media-amazon.com/images/M/MV5BOGMwYmY5ZmEtMzY1Yi00OWJiLTk1Y2MtMzI2MjBhYmZkNTQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg","92","8.2","313,032","tt0071315","movie",NA,"8.2/10","92/100","99%","2022.13"
"Repo Man","tt0087995","6",2022-01-12,"Repo Man","1984","R",1984,"92 min","Action, Comedy, Crime","Alex Cox","Alex Cox","Harry Dean Stanton, Emilio Estevez, Tracey Walter","A young punk recruited by a car repossession agency finds himself in pursuit of a Chevrolet Malibu that is wanted for a $20,000 bounty - and has something otherworldly stashed in its trunk.","English, Spanish","United States","2 wins & 3 nominations","https://m.media-amazon.com/images/M/MV5BNzdkMzVhNTgtMjlhNC00M2JkLWI3MzktYzdkNzYxNTk1NjcwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","82","6.9","36,289","tt0087995","movie",NA,"6.9/10","82/100","98%","2022.12"
"Ministry of Fear","tt0037075","7",2022-01-11,"Ministry of Fear","1944","Passed",1945,"86 min","Crime, Drama, Film-Noir","Fritz Lang","Seton I. Miller, Graham Greene","Ray Milland, Marjorie Reynolds, Carl Esmond","Stephen Neale has just been released from an asylum during World War II in England when he accidentally stumbles onto a deadly Nazi spy plot, and tries to stop it.","English","United States","N/A","https://m.media-amazon.com/images/M/MV5BMTNmYWQzMjQtM2NhMS00NWRjLThmODYtM2EwYmEyNjZkYzI0L2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","N/A","7.2","7,614","tt0037075","movie",NA,"7.2/10",NA,"88%","2022.11"
"Wild Strawberries","tt0050986","8",2022-01-11,"Wild Strawberries","1957","Not Rated",1959,"91 min","Drama, Romance","Ingmar Bergman","Ingmar Bergman","Victor Sjöström, Bibi Andersson, Ingrid Thulin","After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.","Swedish, Latin","Sweden","Nominated for 1 Oscar. 18 wins & 4 nominations total","https://m.media-amazon.com/images/M/MV5BZjJhNTBmNTgtMDViOC00NDY2LWE4N2ItMDJiM2ZiYmQzYzliXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg","88","8.2","103,522","tt0050986","movie",NA,"8.2/10","88/100","94%","2022.11"
"Firebird","tt4061620","6",2022-01-11,"Firebird","2021","N/A",2021,"107 min","Drama, Romance","Peeter Rebane","Peeter Rebane, Tom Prior, Sergey Fetisov","Tom Prior, Oleg Zagorodnii, Diana Pozharskaya","At the height of the Cold War, a troubled soldier forms a forbidden love triangle with a daring fighter pilot and his female comrade amid the dangerous surroundings of a Soviet Air Force Base.","English","Estonia, United Kingdom","5 wins & 1 nomination","https://m.media-amazon.com/images/M/MV5BYjZjZGNkMGYtMmQ2Yy00MTYxLThmYWYtZjYxNDNjMzVmYTk1XkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX300.jpg","N/A","7.5","3,875","tt4061620","movie",NA,"7.5/10",NA,"88%","2022.11"
"Band of Outsiders","tt0057869","7",2022-01-10,"Band of Outsiders","1964","Not Rated",1964,"95 min","Comedy, Crime, Drama","Jean-Luc Godard","Dolores Hitchens, Jean-Luc Godard","Anna Karina, Claude Brasseur, Danièle Girard","Two crooks with a fondness for old Hollywood B-movies convince a languages student to help them commit a robbery.","French, English","France","1 win","https://m.media-amazon.com/images/M/MV5BMjIyOTA0Njk3Ml5BMl5BanBnXkFtZTgwMzY0NTA2ODE@._V1_SX300.jpg","88","7.7","24,220","tt0057869","movie",NA,"7.7/10","88/100","94%","2022.10"
"Criss Cross","tt0041268","6",2022-01-10,"Criss Cross","1949","Not Rated",1949,"84 min","Crime, Drama, Film-Noir","Robert Siodmak","Daniel Fuchs, Don Tracy, William Bowers","Burt Lancaster, Yvonne De Carlo, Dan Duryea","An armored truck driver and his ex-wife conspire with a gang to have his own truck robbed on the route.","English","United States","1 nomination","https://m.media-amazon.com/images/M/MV5BZjlkOGYyNGUtYWRlMy00NzkwLTk2NDMtNzYxMzIwYjUwOTZlXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_SX300.jpg","N/A","7.5","8,275","tt0041268","movie",NA,"7.5/10",NA,"85%","2022.10"
"The 355","tt8356942","3",2022-01-09,"The 355","2022","PG-13",2022,"122 min","Action, Thriller","Simon Kinberg","Theresa Rebeck, Simon Kinberg","Jessica Chastain, Penélope Cruz, Bingbing Fan","When a top-secret weapon falls into mercenary hands, a wild card CIA agent joins forces with three international agents on a lethal mission to retrieve it, while staying a step ahead of a mysterious woman who's tracking their every m","English, Romanian, Chinese, Spanish, French, German, Arabic","China, United States","N/A","https://m.media-amazon.com/images/M/MV5BNzk4MDZhNTctMDA3OC00ODdkLWIyOWYtN2M0MzA3MDY5NDk1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg","40","4.6","3,090","tt8356942","movie",NA,"4.6/10","40/100","26%","2022.9"
"A Hero","tt11777738","7",2022-01-08,"A Hero","2021","PG-13",2022,"127 min","Drama, Thriller","Asghar Farhadi","Asghar Farhadi","Amir Jadidi, Mohsen Tanabandeh, Fereshteh Sadre Orafaiy","Rahim is in prison because of a debt he was unable to repay. During a two-day leave, he tries to convince his creditor to withdraw his complaint against the payment of part of the sum. But things don't go as planned .","Persian","France, Iran","6 wins & 19 nominations","https://m.media-amazon.com/images/M/MV5BMmRlNzkyYzUtYzE5Yi00YmZkLTgyYjQtMmFjMjhmNDU1OTJiXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_SX300.jpg","80","6.9","7,126","tt11777738","movie",NA,"6.9/10","80/100","96%","2022.8"
"Spellbound","tt0038109","6",2022-01-07,"Spellbound","1945","Approved",1945,"111 min","Film-Noir, Mystery, Romance","Alfred Hitchcock","Ben Hecht, John Palmer, Hilary St George Saunders","Ingrid Bergman, Gregory Peck, Michael Chekhov","A psychiatrist protects the identity of an amnesia patient accused of murder while attempting to recover his memory.","English","United States","Won 1 Oscar. 5 wins & 6 nominations total","https://m.media-amazon.com/images/M/MV5BMjE0ZjdmNjQtNWE0MC00MjVjLTg1MDItYzc5YTE1NGFkNjUzXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg","79","7.5","47,201","tt0038109","movie",NA,"7.5/10","79/100","85%","2022.7"
"Queer Eye","tt7259746","7",2022-01-07,"Queer Eye","2018–","TV-14",2018,"45 min","Reality-TV","N/A","David Collins","Jonathan Van Ness, Antoni Porowski, Tan France","A new Fab Five set out to Atlanta to help some of the city's people refine their wardrobes, grooming, diet, cultural pursuits, and home décor.","English","United States","Won 9 Primetime Emmys. 19 wins & 46 nominations total","https://m.media-amazon.com/images/M/MV5BMDYwNzgxYzUtNGY4My00MTI2LTlmNTUtYWY1NDAyNWQyMzEwXkEyXkFqcGdeQXVyOTYyMTY2NzQ@._V1_SX300.jpg","N/A","8.5","17,400","tt7259746","series","6","8.5/10",NA,NA,"2022.7"
"Mixed Nuts","tt0110538","3",2022-01-07,"Mixed Nuts","1994","PG-13",1994,"97 min","Comedy, Drama","Nora Ephron","Nora Ephron, Delia Ephron","Steve Martin, Madeline Kahn, Robert Klein","The events focus around a crisis hotline business on one crazy night during the Christmas holidays.","English","United States","1 nomination","https://m.media-amazon.com/images/M/MV5BYjhhMDU5MzgtYzZkNi00ZTIzLTk1NDMtMTBiNDI4MGEwNDE2XkEyXkFqcGdeQXVyNjgxNTAwNjQ@._V1_SX300.jpg","14","5.5","11,477","tt0110538","movie",NA,"5.5/10","14/100","10%","2022.7"
"Inside Daisy Clover","tt0059314","7",2022-01-06,"Inside Daisy Clover","1965","Approved",1966,"128 min","Drama, Music, Romance","Robert Mulligan","Gavin Lambert","Natalie Wood, Christopher Plummer, Robert Redford","A tomboy turned movie star deals with the cruelty of Hollywood.","English","United States","Nominated for 3 Oscars. 2 wins & 4 nominations total","https://m.media-amazon.com/images/M/MV5BOWIwZjZkMDEtMzAyMC00NGI1LTk4ZGMtNTc2MWU5ZjcyMzA1XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg","N/A","6.2","3,678","tt0059314","movie",NA,"6.2/10",NA,"33%","2022.6"
"Strangers on a Train","tt0044079","8",2022-01-06,"Strangers on a Train","1951","PG",1951,"101 min","Crime, Drama, Film-Noir","Alfred Hitchcock","Raymond Chandler, Czenzi Ormonde, Whitfield Cook","Farley Granger, Robert Walker, Ruth Roman","A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.","English, French","United States","Nominated for 1 Oscar. 3 wins & 2 nominations total","https://m.media-amazon.com/images/M/MV5BNWJjOGM4NmEtNDE2YS00OGEyLTkwZWItMGM4YzdhZDZhMzNhXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","88","8.0","130,822","tt0044079","movie",NA,"8.0/10","88/100","98%","2022.6"
"Hot Summer Nights","tt3416536","5",2022-01-06,"Hot Summer Nights","2017","R",2018,"107 min","Comedy, Crime, Drama","Elijah Bynum","Elijah Bynum","Timothée Chalamet, Maika Monroe, Alex Roe","In the summer of 1991, a sheltered teenage boy comes of age during a wild summer he spends on Cape Cod getting rich from selling pot to gangsters, falling in love for the first time, partying and eventually realizing that he is in ov","English","United States","2 nominations","https://m.media-amazon.com/images/M/MV5BYWEzZDI3NTQtYmFlZi00N2QxLTk0MmYtMThjYjlmZmRlMmVjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg","44","6.4","16,737","tt3416536","movie",NA,"6.4/10","44/100","43%","2022.6"
"The Christmas Train","tt7370936","4",2022-01-05,"The Christmas Train","2017","TV-G",2017,"99 min","Drama, Romance","Ron Oliver","Neal H. Dobrofsky (teleplay), Tippi Dobrofsky (teleplay), David Baldacci (book)","Dermot Mulroney, Kimberly Williams-Paisley, Danny Glover, Joan Cusack","A cynical journalist decides to take a train from Washington, D.C. to Los Angeles for Christmas to get inspiration for a story in honor of his late father. He gets to know the other passengers and runs into an old flame while aboard.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BY2Y4NzE2NTEtNmIwMy00NjU0LWJiNTQtODIyYjUxZTA5YmU5XkEyXkFqcGdeQXVyNjk2Mjc2OTI@._V1_SX300.jpg","N/A","6.5","1,948","tt7370936","movie",NA,"6.5/10",NA,NA,"2022.5"
"Ghostbusters: Afterlife","tt4513678","7",2022-01-05,"Ghostbusters: Afterlife","2021","PG-13",2021,"124 min","Adventure, Comedy, Fantasy","Jason Reitman","Gil Kenan, Jason Reitman, Dan Aykroyd","Carrie Coon, Paul Rudd, Finn Wolfhard","When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.","English","United States, Canada","5 nominations","https://m.media-amazon.com/images/M/MV5BMmZiMjdlN2UtYzdiZS00YjgxLTgyZGMtYzE4ZGU5NTlkNjhhXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg","45","7.4","78,445","tt4513678","movie",NA,"7.4/10","45/100","62%","2022.5"
"Nightmare Alley","tt0039661","7",2022-01-04,"Nightmare Alley","1947","Passed",1947,"110 min","Drama, Film-Noir","Edmund Goulding","Jules Furthman, William Lindsay Gresham","Tyrone Power, Joan Blondell, Coleen Gray","The rise and fall of Stanton Carlisle, a mentalist whose lies and deceit prove to be his downfall.","English","United States","N/A","https://m.media-amazon.com/images/M/MV5BODhjZDdlZGUtY2VkMS00NTE4LWJjMjctODE3OGEyN2MzY2EyL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","75","7.8","9,259","tt0039661","movie",NA,"7.8/10","75/100","88%","2022.4"
"The Holly and the Ivy","tt0044716","6",2022-01-04,"The Holly and the Ivy","1952","Approved",1954,"80 min","Drama","George More O'Ferrall","Anatole de Grunwald, Wynyard Browne","Ralph Richardson, Celia Johnson, Margaret Leighton","A heartwarming tale of an English minister and his family reunited at Christmas time. Their story includes a remembrance of their World War II trials.","English","United Kingdom","N/A","https://m.media-amazon.com/images/M/MV5BZDgwMTNkOTEtNTY0Zi00YzNkLWIzMWUtMWVhZGY5NmE5YTMxXkEyXkFqcGdeQXVyMTYzMTY1MjQ@._V1_SX300.jpg","N/A","7.6","1,601","tt0044716","movie",NA,"7.6/10",NA,NA,"2022.4"
"Remember the Night","tt0032981","7",2022-01-04,"Remember the Night","1940","Passed",1940,"94 min","Comedy, Drama, Romance","Mitchell Leisen","Preston Sturges","Barbara Stanwyck, Fred MacMurray, Beulah Bondi","Love blooms between a sympathetic attorney and the comely shoplifter he has taken home for the Christmas holiday.","English","United States","N/A","https://m.media-amazon.com/images/M/MV5BZmYyZjE0YTMtZmFlOS00MzBhLTk1MzgtMjkyYjMzZjQyZTI0XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg","78","7.6","5,636","tt0032981","movie",NA,"7.6/10","78/100","100%","2022.4"
"Christmas in Connecticut","tt0037595","7",2022-01-03,"Christmas in Connecticut","1945","Not Rated",1945,"101 min","Comedy, Romance","Peter Godfrey","Lionel Houser, Adele Comandini, Aileen Hamilton","Barbara Stanwyck, Dennis Morgan, Sydney Greenstreet","A food writer who has lied about being the perfect housewife must try to cover her deception when her boss and a returning war hero invite themselves to her home for a traditional family Christmas.","English, German","United States","N/A","https://m.media-amazon.com/images/M/MV5BNTRmYzUyMjctMWM5ZS00NTExLTgzMjctN2MwZjA2OWJjMjIyXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg","N/A","7.4","9,410","tt0037595","movie",NA,"7.4/10",NA,"89%","2022.3"
"Christmas Holiday","tt0036711","6",2022-01-03,"Christmas Holiday","1944","Not Rated",1944,"93 min","Crime, Drama, Film-Noir","Robert Siodmak","W. Somerset Maugham, Herman J. Mankiewicz","Deanna Durbin, Gene Kelly, Richard Whorf","A young femme fatale-type woman realizes that the man she married is an incorrigible wastrel.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNjliOTllOGQtZWRjYy00NjU3LWE5OGEtMjQ3MjM1ZmVjMGM0XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg","N/A","6.6","1,358","tt0036711","movie",NA,"6.6/10",NA,"78%","2022.3"
"You Again","tt1414382","3",2022-01-03,"You Again","2010","PG",2010,"105 min","Comedy, Romance","Andy Fickman","Moe Jelline","Kristen Bell, Odette Annable, Sigourney Weaver","When a young woman realizes her brother is about to marry the girl who bullied her in high school, she sets out to expose the fiancée's true colors.","English, French, German, Spanish, Hawaiian, Japanese, Italian, Hebrew","United States","2 wins","https://m.media-amazon.com/images/M/MV5BMTM5MzkyMDY0MV5BMl5BanBnXkFtZTcwNDkxNDc1Mw@@._V1_SX300.jpg","28","5.8","50,801","tt1414382","movie",NA,"5.8/10","28/100","19%","2022.3"
"Noelle","tt5097410","6",2022-01-03,"Noelle","2019","G",2019,"100 min","Adventure, Comedy, Family","Marc Lawrence","Marc Lawrence","Anna Kendrick, Shirley MacLaine, Bill Hader","Santa's daughter must take over the family business when her father retires and her brother, who is supposed to inherit the Santa role, gets cold feet.","English, American Sign ","United States","N/A","https://m.media-amazon.com/images/M/MV5BMjM2MTIxYTAtYWM3MC00OWI4LWJmMjMtYzBhMWFlMzU0NTdhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg","48","6.3","20,395","tt5097410","movie",NA,"6.3/10","48/100","54%","2022.3"
"The Christmas House 2: Deck Those Halls","tt16365840","5",2022-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022.3"
"Scrooged","tt0096061","7",2022-01-03,"Scrooged","1988","PG-13",1988,"101 min","Comedy, Drama, Fantasy","Richard Donner","Mitch Glazer, Michael O'Donoghue, Charles Dickens","Bill Murray, Karen Allen, John Forsythe","A selfish, cynical television executive is haunted by three spirits bearing lessons on Christmas Eve.","English","United States","Nominated for 1 Oscar. 1 win & 5 nominations total","https://m.media-amazon.com/images/M/MV5BM2NlMDQzMDktNTMyZS00MjBjLWI0MmEtMzgzZDM2ZTVkNzE1XkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg","38","7.0","97,781","tt0096061","movie",NA,"7.0/10","38/100","69%","2022.3"
"The Lost Daughter","tt9100054","7",2022-01-02,"The Lost Daughter","2021","R",2021,"121 min","Drama","Maggie Gyllenhaal","Maggie Gyllenhaal, Elena Ferrante","Olivia Colman, Jessie Buckley, Dakota Johnson","A woman's beach vacation takes a dark turn when she begins to confront the troubles of her past.","English, Italian, Greek","United States, United Kingdom, Israel, Greece","16 wins & 71 nominations","https://m.media-amazon.com/images/M/MV5BZTJmYTJmYTktMzU1Yy00ZTZlLTgzNjItYmY4ZDFjZGFjYjZhXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg","85","6.7","15,336","tt9100054","movie",NA,"6.7/10","85/100","96%","2022.2"
"Harry Potter 20th Anniversary: Return to Hogwarts","tt16116174","8",2022-01-02,"Harry Potter 20th Anniversary: Return to Hogwarts","2022","N/A",2022,"102 min","Documentary, Family","Eran Creevy, Joe Pearlman, Giorgio Testi","N/A","Daniel Radcliffe, Emma Watson, Ralph Fiennes","Cast members from all ""Harry Potter"" films reunite in a retrospective special to celebrate the anniversary of the first film, including interviews and cast conversations.","English","United Kingdom, United States","N/A","https://m.media-amazon.com/images/M/MV5BNTZkNWEyZTgtYzJlOS00OWNiLTgwZjMtZGU5NTRhNDNjOTRhXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg","N/A","8.4","10,467","tt16116174","movie",NA,"8.4/10",NA,"100%","2022.2"
"Licorice Pizza","tt11271038","9",2022-01-02,"Licorice Pizza","2021","R",2021,"133 min","Comedy, Drama, Romance","Paul Thomas Anderson","Paul Thomas Anderson","Alana Haim, Cooper Hoffman, Sean Penn","The story of Alana Kane and Gary Valentine growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973.","English","United States","17 wins & 64 nominations","https://m.media-amazon.com/images/M/MV5BMGU4NzhkZDAtZmIyNi00ZGE2LWE2ODMtMGNiNjc3MTQxOTU1XkEyXkFqcGdeQXVyODk2NDQ3MTA@._V1_SX300.jpg","90","8.4","1,850","tt11271038","movie",NA,"8.4/10","90/100","91%","2022.2"
