Year,Ceremony,Award,Winner,Recipient,Song,Film,IMDBid
1973,46,Directing,1,George Roy Hill,,The Sting,tt0070735
1973,46,Film Editing,1,William Reynolds,,The Sting,tt0070735
1973,46,Music (Scoring: Original Song Score and Adaptation -Or- Scoring: Adaptation),1,Adaptation Score by Marvin Hamlisch,,The Sting,tt0070735
1973,46,"Writing (Story and Screenplay, Based on Factual Material or Material Not Previously Published or Produced)",1,David S. Ward,,The Sting,tt0070735
1973,46,Music (Original Dramatic Score),1,Marvin Hamlisch,,The Way We Were,
1973,46,Music (Song),1,Music by Marvin Hamlisch; Lyrics by Alan Bergman and Marilyn Bergman,"""The Way We Were"" ",The Way We Were,
1974,47,Actress,1,Ellen Burstyn,,Alice Doesn't Live Here Anymore,
1974,47,Foreign Language Film,1,Italy,,Amarcord,tt0071129
1974,47,Writing (Original Screenplay),1,Robert Towne,,Chinatown,
1974,47,Short Film (Animated),1,"Will Vinton and Bob Gardiner, Producers",,Closed Mondays,
1974,47,Documentary (Short Subject),1,"Robin Lehman, Producer",,Don't,
1974,47,Sound,1,"Ronald Pierce, Melvin Metcalfe, Sr.",,Earthquake,
1974,47,Special Achievement Award (Visual Effects),1,Earthquake,,"Frank Brendel, Glen Robinson, Albert Whitlock",
1974,47,Actor,1,Art Carney,,Harry and Tonto,
1974,47,Documentary (Feature),1,"Peter Davis and Bert Schneider, Producers",,Hearts and Minds,
1974,47,Actress in a Supporting Role,1,Ingrid Bergman,,Murder on the Orient Express,
1974,47,Honorary Award,1,Howard Hawks,,NA,NA
1974,47,Honorary Award,1,Jean Renoir,,NA,NA
1974,47,Jean Hersholt Humanitarian Award,1,Arthur B. Krim,,NA,NA
1974,47,Short Film (Live Action),1,"Paul Claudon and Edmond Sechan, Producers",,One-Eyed Men Are Kings,
1974,47,Actor in a Supporting Role,1,Robert De Niro,,The Godfather Part II,tt0071562
1974,47,Art Direction,1,"Art Direction: Dean Tavoularis, Angelo Graham; Set Decoration: George R. Nelson",,The Godfather Part II,tt0071562
1974,47,Best Picture,1,"Francis Ford Coppola, Producer; Gray Frederickson and Fred Roos, Co-Producers",,The Godfather Part II,tt0071562
1974,47,Directing,1,Francis Ford Coppola,,The Godfather Part II,tt0071562
1974,47,Music (Original Dramatic Score),1,"Nino Rota, Carmine Coppola",,The Godfather Part II,tt0071562
1974,47,Writing (Screenplay Adapted from Other Material),1,"Francis Ford Coppola, Mario Puzo",,The Godfather Part II,tt0071562
1974,47,Costume Design,1,Theoni V. Aldredge,,The Great Gatsby,
1974,47,Music (Scoring: Original Song Score and Adaptation -Or- Scoring: Adaptation),1,Adaptation Score by Nelson Riddle,,The Great Gatsby,
1974,47,Cinematography,1,"Fred Koenekamp, Joseph Biroc",,The Towering Inferno,
1974,47,Film Editing,1,"Harold F. Kress, Carl Kress",,The Towering Inferno,
1974,47,Music (Song),1,Music and Lyrics by Al Kasha and Joel Hirschhorn,"""We May Never Love Like This Again""",The Towering Inferno,
1975,48,Special Achievement Award (Visual Effects),1,The Hindenburg,,"Albert Whitlock, Glen Robinson",
1975,48,Short Film (Live Action),1,"Bert Salzman, Producer",,Angel and Big Joe,
1975,48,Art Direction,1,"Art Direction: Ken Adam, Roy Walker; Set Decoration: Vernon Dixon",,Barry Lyndon,
1975,48,Cinematography,1,John Alcott,,Barry Lyndon,
1975,48,Costume Design,1,"Ulla-Britt Soderlund, Milena Canonero",,Barry Lyndon,
1975,48,Music (Scoring: Original Song Score and Adaptation -Or- Scoring: Adaptation),1,Adaptation Score by Leonard Rosenman,,Barry Lyndon,
1975,48,Foreign Language Film,1,Union of Soviet Socialist Republics,,Dersu Uzala,
1975,48,Writing (Original Screenplay),1,Frank Pierson,,Dog Day Afternoon,
1975,48,Short Film (Animated),1,"Bob Godfrey, Producer",,Great,
1975,48,Film Editing,1,Verna Fields,,Jaws,
1975,48,Music (Original Score),1,John Williams,,Jaws,
1975,48,Sound,1,"Robert L. Hoyt, Roger Heman, Earl Madery, John Carter",,Jaws,
1975,48,Honorary Award,1,Mary Pickford,,NA,NA
1975,48,Irving G. Thalberg Memorial Award,1,Mervyn LeRoy,,NA,NA
1975,48,Jean Hersholt Humanitarian Award,1,Dr. Jules C. Stein,,NA,NA
1975,48,Music (Original Song),1,Music and Lyrics by Keith Carradine,"""I'm Easy""",Nashville,
1975,48,Actor,1,Jack Nicholson,,One Flew over the Cuckoo's Nest,tt0073486
1975,48,Actress,1,Louise Fletcher,,One Flew over the Cuckoo's Nest,tt0073486
1975,48,Best Picture,1,"Saul Zaentz and Michael Douglas, Producers",,One Flew over the Cuckoo's Nest,tt0073486
1975,48,Directing,1,Milos Forman,,One Flew over the Cuckoo's Nest,tt0073486
1975,48,Writing (Screenplay Adapted from Other Material),1,"Lawrence Hauben, Bo Goldman",,One Flew over the Cuckoo's Nest,tt0073486
1975,48,Special Achievement Award (Sound Effects),1,The Hindenburg,,Peter Berkos,
1975,48,Actress in a Supporting Role,1,Lee Grant,,Shampoo,
1975,48,Documentary (Short Subject),1,"Claire Wilbur and Robin Lehman, Producers",,The End of the Game,
1975,48,Documentary (Feature),1,"F. R. Crawley, James Hager and Dale Hartleben, Producers",,The Man Who Skied down Everest,
1975,48,Actor in a Supporting Role,1,George Burns,,The Sunshine Boys,
1976,49,Music (Original Song),1,Music by Barbra Streisand; Lyrics by Paul Williams,"""Evergreen (Love Theme From A Star Is Born)""",A Star Is Born,
1976,49,Actor in a Supporting Role,1,Jason Robards,,All the President's Men,
1976,49,Art Direction,1,Art Direction: George Jenkins; Set Decoration: George Gaines,,All the President's Men,
1976,49,Sound,1,"Arthur Piantadosi, Les Fresholtz, Dick Alexander, Jim Webb",,All the President's Men,
1976,49,"Writing (Screenplay, Based on Material from Another Medium)",1,William Goldman,,All the President's Men,
1976,49,Foreign Language Film,1,Ivory Coast,,Black and White in Color,
1976,49,Cinematography,1,Haskell Wexler,,Bound for Glory,
1976,49,Music (Original Song Score and Its Adaptation or Adaptation Score),1,Adaptation Score by Leonard Rosenman,,Bound for Glory,
1976,49,Special Achievement Award (Visual Effects),1,King Kong,,"Carlo Rambaldi, Glen Robinson, Frank Van der Veer",
1976,49,Costume Design,1,Danilo Donati,,Fellini's Casanova,
1976,49,Documentary (Feature),1,"Barbara Kopple, Producer",,"Harlan County, U.S.A.",
1976,49,Short Film (Live Action),1,"Andre Guttfreund and Peter Werner, Producers",,In the Region of Ice,
1976,49,Special Achievement Award (Visual Effects),1,Logan's Run,,"L. B. Abbott, Glen Robinson, Matthew Yuricich",
1976,49,Short Film (Animated),1,"Suzanne Baker, Producer",,Leisure,
1976,49,Irving G. Thalberg Memorial Award,1,Pandro S. Berman,,NA,NA
1976,49,Actor in a Leading Role,1,Peter Finch,,Network,
1976,49,Actress in a Leading Role,1,Faye Dunaway,,Network,
1976,49,Actress in a Supporting Role,1,Beatrice Straight,,Network,
1976,49,"Writing (Screenplay Written Directly for the Screen, Based on Factual Material or on Story Material Not Previously Published or Produced)",1,Paddy Chayefsky,,Network,
1976,49,Documentary (Short Subject),1,"Lynne Littman, Producer",,Number Our Days,
1976,49,Best Picture,1,"Irwin Winkler and Robert Chartoff, Producers",,Rocky,
1976,49,Directing,1,John G. Avildsen,,Rocky,
1976,49,Film Editing,1,"Richard Halsey, Scott Conrad",,Rocky,
1976,49,Music (Original Score),1,Jerry Goldsmith,,The Omen,
1977,50,Music (Original Song Score and Its Adaptation or Adaptation Score),1,Adaptation Score by Jonathan Tunick,,A Little Night Music,
1977,50,Actress in a Leading Role,1,Diane Keaton,,Annie Hall,tt0075686
1977,50,Best Picture,1,"Charles H. Joffe, Producer",,Annie Hall,tt0075686
1977,50,Directing,1,Woody Allen,,Annie Hall,tt0075686
1977,50,"Writing (Screenplay Written Directly for the Screen, Based on Factual Material or on Story Material Not Previously Published or Produced)",1,"Woody Allen, Marshall Brickman",,Annie Hall,tt0075686
1977,50,Cinematography,1,Vilmos Zsigmond,,Close Encounters of the Third Kind,
1977,50,Special Achievement Award (Sound Effects Editing),1,Close Encounters of the Third Kind,,Frank E. Warner,
1977,50,Documentary (Short Subject),1,"John Joseph and Jan Stussy, Producers",,Gravity Is My Enemy,
1977,50,Short Film (Live Action),1,"Beverly Shaffer and Yuki Yoshida, Producers",,I'll Find a Way,
1977,50,Actor in a Supporting Role,1,Jason Robards,,Julia,
1977,50,Actress in a Supporting Role,1,Vanessa Redgrave,,Julia,
1977,50,"Writing (Screenplay, Based on Material from Another Medium)",1,Alvin Sargent,,Julia,
1977,50,Foreign Language Film,1,France,,Madame Rosa,
1977,50,Honorary Award,1,Margaret Booth,,NA,NA
1977,50,Irving G. Thalberg Memorial Award,1,Walter Mirisch,,NA,NA
1977,50,Jean Hersholt Humanitarian Award,1,Charlton Heston,,NA,NA
1977,50,Medal of Commendation,1,Gordon E. Sawyer,,NA,NA
1977,50,Medal of Commendation,1,Sidney Paul Solow,,NA,NA
1977,50,Art Direction,1,"Art Direction: John Barry, Norman Reynolds, Leslie Dilley; Set Decoration: Roger Christian",,Star Wars: Episode IV - A New Hope,tt0076759
1977,50,Costume Design,1,John Mollo,,Star Wars: Episode IV - A New Hope,tt0076759
1977,50,Film Editing,1,"Paul Hirsch, Marcia Lucas, Richard Chew",,Star Wars: Episode IV - A New Hope,tt0076759
1977,50,Music (Original Score),1,John Williams,,Star Wars: Episode IV - A New Hope,tt0076759
1977,50,Sound,1,"Don MacDougall, Ray West, Bob Minkler, Derek Ball",,Star Wars: Episode IV - A New Hope,tt0076759
1977,50,Special Achievement Award,1,"Benjamin Burtt, Jr.",,Star Wars: Episode IV - A New Hope,tt0076759
1977,50,Visual Effects,1,"John Stears, John Dykstra, Richard Edlund, Grant McCune, Robert Blalack",,Star Wars: Episode IV - A New Hope,tt0076759
1977,50,Actor in a Leading Role,1,Richard Dreyfuss,,The Goodbye Girl,
1977,50,Short Film (Animated),1,"Co Hoedeman, Producer",,The Sand Castle,
1977,50,Documentary (Feature),1,"John Korty, Dan McCann and Warren L. Lockhart, Producers",,Who Are the DeBolts? And Where Did They Get Nineteen Kids?,
1977,50,Music (Original Song),1,Music and Lyrics by Joseph Brooks,"""You Light Up My Life"" ",You Light Up My Life,
1978,51,Actress in a Supporting Role,1,Maggie Smith,,California Suite,
1978,51,Actor in a Leading Role,1,Jon Voight,,Coming Home,
1978,51,Actress in a Leading Role,1,Jane Fonda,,Coming Home,
1978,51,Writing (Screenplay Written Directly for the Screen),1,"Story by Nancy Dowd; Screenplay by Waldo Salt, Robert C. Jones",,Coming Home,
1978,51,Cinematography,1,Nestor Almendros,,Days of Heaven,
1978,51,Costume Design,1,Anthony Powell,,Death on the Nile,
1978,51,Foreign Language Film,1,France,,Get Out Your Handkerchiefs,
1978,51,Art Direction,1,"Art Direction: Paul Sylbert, Edwin O'Donovan; Set Decoration: George Gaines",,Heaven Can Wait,
1978,51,Special Achievement Award (Visual Effects),1,Superman,,"Les Bowie, Colin Chilvers, Denys Coop, Roy Field, Derek Meddings, Zoran Perisic",
1978,51,Music (Original Score),1,Giorgio Moroder,,Midnight Express,
1978,51,Writing (Screenplay Based on Material from Another Medium),1,Oliver Stone,,Midnight Express,
1978,51,Honorary Award,1,Walter Lantz,,NA,NA
1978,51,Honorary Award,1,The Museum of Modern Art Department of Film,,NA,NA
1978,51,Honorary Award,1,Laurence Olivier,,NA,NA
1978,51,Honorary Award,1,King Vidor,,NA,NA
1978,51,Jean Hersholt Humanitarian Award,1,Leo Jaffe,,NA,NA
1978,51,Medal of Commendation,1,Linwood G. Dunn,,NA,NA
1978,51,Medal of Commendation,1,Loren L. Ryder,,NA,NA
1978,51,Medal of Commendation,1,Waldon O. Watson,,NA,NA
1978,51,Documentary (Feature),1,"Arnold Shapiro, Producer",,Scared Straight!,
1978,51,Short Film (Animated),1,"Eunice Macaulay and John Weldon, Producers",,Special Delivery,
1978,51,Short Film (Live Action),1,"Taylor Hackford, Producer",,Teenage Father,
1978,51,Music (Original Song),1,Music and Lyrics by Paul Jabara,"""Last Dance""",Thank God It's Friday,
1978,51,Music (Adaptation Score),1,Joe Renzetti,,The Buddy Holly Story,
1978,51,Actor in a Supporting Role,1,Christopher Walken,,The Deer Hunter,tt0077416
1978,51,Best Picture,1,"Barry Spikings, Michael Deeley, Michael Cimino and John Peverall, Producers",,The Deer Hunter,tt0077416
1978,51,Directing,1,Michael Cimino,,The Deer Hunter,tt0077416
1978,51,Film Editing,1,Peter Zinner,,The Deer Hunter,tt0077416
1978,51,Sound,1,"Richard Portman, William McCaughey, Aaron Rochin, Darin Knight",,The Deer Hunter,tt0077416
1978,51,Documentary (Short Subject),1,"Jacqueline Phillips Shedd and Ben Shedd, Producers",,The Flight of the Gossamer Condor,
1979,52,Music (Original Score),1,Georges Delerue,,A Little Romance,
1979,52,Special Achievement Award (Sound Editing),1,The Black Stallion,,Alan Splet,
1979,52,Visual Effects,1,"H.R. Giger, Carlo Rambaldi, Brian Johnson, Nick Allder, Denys Ayling",,Alien,
1979,52,Art Direction,1,"Art Direction: Philip Rosenberg, Tony Walton; Set Decoration: Edward Stewart, Gary Brink",,All That Jazz,
1979,52,Costume Design,1,Albert Wolsky,,All That Jazz,
1979,52,Film Editing,1,Alan Heim,,All That Jazz,
1979,52,Music (Original Song Score and Its Adaptation -Or- Adaptation Score),1,Adaptation Score by Ralph Burns,,All That Jazz,
1979,52,Cinematography,1,Vittorio Storaro,,Apocalypse Now,
1979,52,Sound,1,"Walter Murch, Mark Berger, Richard Beggs, Nat Boxer",,Apocalypse Now,
1979,52,Actor in a Supporting Role,1,Melvyn Douglas,,Being There,
1979,52,Documentary (Feature),1,"Ira Wohl, Producer",,Best Boy,
1979,52,Short Film (Live Action),1,"Sarah Pillsbury and Ron Ellis, Producers",,Board and Care,
1979,52,Writing (Screenplay Written Directly for the Screen),1,Steve Tesich,,Breaking Away,
1979,52,Short Film (Animated),1,"Derek Lamb, Producer",,Every Child,
1979,52,Actor in a Leading Role,1,Dustin Hoffman,,Kramer vs. Kramer,tt0079417
1979,52,Actress in a Supporting Role,1,Meryl Streep,,Kramer vs. Kramer,tt0079417
1979,52,Best Picture,1,"Stanley R. Jaffe, Producer",,Kramer vs. Kramer,tt0079417
1979,52,Directing,1,Robert Benton,,Kramer vs. Kramer,tt0079417
1979,52,Writing (Screenplay Based on Material from Another Medium),1,Robert Benton,,Kramer vs. Kramer,tt0079417
1979,52,Honorary Award,1,Alec Guinness,,NA,NA
1979,52,Honorary Award,1,Hal Elias,,NA,NA
1979,52,Irving G. Thalberg Memorial Award,1,Ray Stark,,NA,NA
1979,52,Jean Hersholt Humanitarian Award,1,Robert Benjamin,,NA,NA
1979,52,Medal of Commendation,1,John O. Aalberg,,NA,NA
1979,52,Medal of Commendation,1,Charles G. Clarke,,NA,NA
1979,52,Medal of Commendation,1,John G. Frayne,,NA,NA
1979,52,Music (Original Song),1,Music by David Shire; Lyric by Norman Gimbel,"""It Goes Like It Goes""",Norma Rae,
1979,52,Actress in a Leading Role,1,Sally Field,,Norma Rae,
1979,52,Documentary (Short Subject),1,"Saul J. Turell, Producer",,Paul Robeson: Tribute to an Artist,
1979,52,Foreign Language Film,1,Federal Republic of Germany,,The Tin Drum,
1980,53,Actress in a Leading Role,1,Sissy Spacek,,Coal Miner's Daughter,
1980,53,Music (Original Song),1,Music by Michael Gore; Lyric by Dean Pitchford,"""Fame""",Fame,
1980,53,Music (Original Score),1,Michael Gore,,Fame,
1980,53,Documentary (Feature),1,"Murray Lerner, Producer",,From Mao to Mozart: Isaac Stern in China,
1980,53,Documentary (Short Subject),1,"Roland Hallé and Peter W. Ladue, Producers",,Karl Hess: Toward Liberty,
1980,53,Actress in a Supporting Role,1,Mary Steenburgen,,Melvin and Howard,
1980,53,Writing (Screenplay Written Directly for the Screen),1,Bo Goldman,,Melvin and Howard,
1980,53,Foreign Language Film,1,Union of Soviet Socialist Republics,,Moscow Does Not Believe in Tears,
1980,53,Honorary Award,1,Henry Fonda,,NA,NA
1980,53,Medal of Commendation,1,Fred Hynes,,NA,NA
1980,53,Actor in a Supporting Role,1,Timothy Hutton,,Ordinary People,tt0081283
1980,53,Best Picture,1,"Ronald L. Schwary, Producer",,Ordinary People,tt0081283
1980,53,Directing,1,Robert Redford,,Ordinary People,tt0081283
1980,53,Writing (Screenplay Based on Material from Another Medium),1,Alvin Sargent,,Ordinary People,tt0081283
1980,53,Actor in a Leading Role,1,Robert De Niro,,Raging Bull,
1980,53,Film Editing,1,Thelma Schoonmaker,,Raging Bull,
1980,53,Special Achievement Award (Visual Effects),1,"Brian Johnson, Richard Edlund, Dennis Muren, Bruce Nicholson",,Star Wars: Episode V - The Empire Strikes Back,tt0080684
1980,53,Sound,1,"Bill Varney, Steve Maslow, Gregg Landaker, Peter Sutton",,Star Wars: Episode V - The Empire Strikes Back,tt0080684
1980,53,Art Direction,1,"Art Direction: Pierre Guffroy, Jack Stephens",,Tess,
1980,53,Cinematography,1,"Geoffrey Unsworth, Ghislain Cloquet",,Tess,
1980,53,Costume Design,1,Anthony Powell,,Tess,
1980,53,Short Film (Dramatic Live Action),1,"Lloyd Phillips, Producer",,The Dollar Bottom,
1980,53,Short Film (Animated),1,"Ferenc Rofusz, Producer",,The Fly,
1981,54,Makeup,1,Rick Baker,,An American Werewolf in London,
1981,54,Music (Original Song),1,"Music and Lyric by Burt Bacharach, Carole Bayer Sager, Christopher Cross and Peter Allen","""Arthur's Theme (Best That You Can Do)""",Arthur,
1981,54,Actor in a Supporting Role,1,John Gielgud,,Arthur,
1981,54,Special Achievement Award (Sound Effects Editing),1,Raiders of the Lost Ark,,"Ben Burtt, Richard L. Anderson",
1981,54,Best Picture,1,"David Puttnam, Producer",,Chariots of Fire,
1981,54,Costume Design,1,Milena Canonero,,Chariots of Fire,
1981,54,Music (Original Score),1,Vangelis,,Chariots of Fire,
1981,54,Writing (Screenplay Written Directly for the Screen),1,Colin Welland,,Chariots of Fire,
1981,54,Documentary (Short Subject),1,"Nigel Noble, Producer",,Close Harmony,
1981,54,Short Film (Animated),1,"Frédéric Back, Producer",,Crac,
1981,54,Documentary (Feature),1,"Arnold Schwartzman and Rabbi Marvin Hier, Producers",,Genocide,
1981,54,Foreign Language Film,1,Hungary,,Mephisto,
1981,54,Gordon E. Sawyer Award,1,Joseph B. Walker,,NA,NA
1981,54,Honorary Award,1,Barbara Stanwyck,,NA,NA
1981,54,Irving G. Thalberg Memorial Award,1,Albert R. Broccoli,,NA,NA
1981,54,Jean Hersholt Humanitarian Award,1,Danny Kaye,,NA,NA
1981,54,Actor in a Leading Role,1,Henry Fonda,,On Golden Pond,
1981,54,Actress in a Leading Role,1,Katharine Hepburn,,On Golden Pond,
1981,54,Writing (Screenplay Based on Material from Another Medium),1,Ernest Thompson,,On Golden Pond,
1981,54,Art Direction,1,"Art Direction: Norman Reynolds, Leslie Dilley; Set Decoration: Michael Ford",,Raiders of the Lost Ark,
1981,54,Film Editing,1,Michael Kahn,,Raiders of the Lost Ark,
1981,54,Sound,1,"Bill Varney, Steve Maslow, Gregg Landaker, Roy Charman",,Raiders of the Lost Ark,
1981,54,Visual Effects,1,"Richard Edlund, Kit West, Bruce Nicholson, Joe Johnston",,Raiders of the Lost Ark,
1981,54,Actress in a Supporting Role,1,Maureen Stapleton,,Reds,
1981,54,Cinematography,1,Vittorio Storaro,,Reds,
1981,54,Directing,1,Warren Beatty,,Reds,
1981,54,Short Film (Live Action),1,"Paul Kemp and Shelley Levinson, Producers",,Violet,
1982,55,Short Film (Live Action),1,"Christine Oestreicher, Producer",,A Shocking Accident,
1982,55,Music (Original Song),1,Music by Jack Nitzsche and Buffy Sainte-Marie; Lyric by Will Jennings,"""Up Where We Belong""",An Officer and a Gentleman,
1982,55,Actor in a Supporting Role,1,"Louis Gossett, Jr.",,An Officer and a Gentleman,
1982,55,Music (Original Score),1,John Williams,,E.T. The Extra-Terrestrial,tt0083866
1982,55,Sound,1,"Robert Knudson, Robert Glass, Don Digirolamo, Gene Cantamessa",,E.T. The Extra-Terrestrial,tt0083866
1982,55,Sound Effects Editing,1,"Charles L. Campbell, Ben Burtt",,E.T. The Extra-Terrestrial,tt0083866
1982,55,Visual Effects,1,"Carlo Rambaldi, Dennis Muren, Kenneth F. Smith",,E.T. The Extra-Terrestrial,tt0083866
1982,55,Actor in a Leading Role,1,Ben Kingsley,,Gandhi,tt0083987
1982,55,Art Direction,1,"Art Direction: Stuart Craig, Bob Laing; Set Decoration: Michael Seirton",,Gandhi,tt0083987
1982,55,Best Picture,1,"Richard Attenborough, Producer",,Gandhi,tt0083987
1982,55,Cinematography,1,"Billy Williams, Ronnie Taylor",,Gandhi,tt0083987
1982,55,Costume Design,1,"John Mollo, Bhanu Athaiya",,Gandhi,tt0083987
1982,55,Directing,1,Richard Attenborough,,Gandhi,tt0083987
1982,55,Film Editing,1,John Bloom,,Gandhi,tt0083987
1982,55,Writing (Screenplay Written Directly for the Screen),1,John Briley,,Gandhi,tt0083987
1982,55,Documentary (Short Subject),1,"Edward Le Lorrain and Terri Nash, Producers",,If You Love This Planet,
1982,55,Documentary (Feature),1,"John Zaritsky, Producer",,Just Another Missing Kid,
1982,55,Writing (Screenplay Based on Material from Another Medium),1,"Costa-Gavras, Donald Stewart",,Missing,
1982,55,Gordon E. Sawyer Award,1,John O. Aalberg,,NA,NA
1982,55,Honorary Award,1,Mickey Rooney,,NA,NA
1982,55,Jean Hersholt Humanitarian Award,1,Walter Mirisch,,NA,NA
1982,55,Makeup,1,"Sarah Monzani, Michèle Burke",,Quest for Fire,
1982,55,Actress in a Leading Role,1,Meryl Streep,,Sophie's Choice,
1982,55,Short Film (Animated),1,"Zbigniew Rybczynski, Producer",,Tango,
1982,55,Actress in a Supporting Role,1,Jessica Lange,,Tootsie,
1982,55,Music (Original Song Score and Its Adaptation -Or- Adaptation Score),1,Song Score by Henry Mancini and Leslie Bricusse; Adaptation Score by Henry Mancini,,Victor/Victoria,
1982,55,Foreign Language Film,1,Spain,,Volver a Empezar ('To Begin Again'),
1983,56,Short Film (Live Action),1,"Janice L. Platt, Producer",,Boys and Girls,
1983,56,Art Direction,1,Anna Asp,,Fanny & Alexander,
1983,56,Cinematography,1,Sven Nykvist,,Fanny & Alexander,
1983,56,Costume Design,1,Marik Vos,,Fanny & Alexander,
1983,56,Foreign Language Film,1,Sweden,,Fanny & Alexander,
1983,56,Documentary (Short Subject),1,"Cynthia Scott and Adam Symansky, Producers",,Flamenco at 5:15,
1983,56,Music (Original Song),1,Music by Giorgio Moroder; Lyric by Keith Forsey and Irene Cara,"""Flashdance...What A Feeling""",Flashdance,
1983,56,Documentary (Feature),1,"Emile Ardolino, Producer",,He Makes Me Feel Like Dancin',
1983,56,Gordon E. Sawyer Award,1,Dr. John G. Frayne,,NA,NA
1983,56,Honorary Award,1,Hal Roach,,NA,NA
1983,56,Jean Hersholt Humanitarian Award,1,M. J. Frankovich,,NA,NA
1983,56,Special Achievement Award (Visual Effects),1,Return of the Jedi,,"Richard Edlund, Dennis Muren, Ken Ralston, Phil Tippett",
1983,56,Short Film (Animated),1,"Jimmy Picker, Producer",,Sundae in New York,
1983,56,Actor in a Leading Role,1,Robert Duvall,,Tender Mercies,
1983,56,Writing (Screenplay Written Directly for the Screen),1,Horton Foote,,Tender Mercies,
1983,56,Actor in a Supporting Role,1,Jack Nicholson,,Terms of Endearment,t0086425
1983,56,Actress in a Leading Role,1,Shirley MacLaine,,Terms of Endearment,t0086425
1983,56,Best Picture,1,"James L. Brooks, Producer",,Terms of Endearment,t0086425
1983,56,Directing,1,James L. Brooks,,Terms of Endearment,t0086425
1983,56,Writing (Screenplay Based on Material from Another Medium),1,James L. Brooks,,Terms of Endearment,t0086425
1983,56,Film Editing,1,"Glenn Farr, Lisa Fruchtman, Stephen A. Rotter, Douglas Stewart, Tom Rolf",,The Right Stuff,
1983,56,Music (Original Score),1,Bill Conti,,The Right Stuff,
1983,56,Sound,1,"Mark Berger, Tom Scott, Randy Thom, David MacMillan",,The Right Stuff,
1983,56,Sound Effects Editing,1,Jay Boekelheide,,The Right Stuff,
1983,56,Actress in a Supporting Role,1,Linda Hunt,,The Year of Living Dangerously,
1983,56,Music (Original Song Score or Adaptation Score),1,"Song Score by Michel Legrand, Alan Bergman and Marilyn Bergman",,Yentl,
1984,57,Actress in a Supporting Role,1,Peggy Ashcroft,,A Passage to India,
1984,57,Music (Original Score),1,Maurice Jarre,,A Passage to India,
1984,57,Actor in a Leading Role,1,F. Murray Abraham,,Amadeus,tt0086879
1984,57,Art Direction,1,Art Direction: Patrizia Von Brandenstein; Set Decoration: Karel Cerny,,Amadeus,tt0086879
1984,57,Best Picture,1,"Saul Zaentz, Producer",,Amadeus,tt0086879
1984,57,Costume Design,1,Theodor Pistek,,Amadeus,tt0086879
1984,57,Directing,1,Milos Forman,,Amadeus,tt0086879
1984,57,Makeup,1,"Paul LeBlanc, Dick Smith",,Amadeus,tt0086879
1984,57,Sound,1,"Mark Berger, Tom Scott, Todd Boekelheide, Chris Newman",,Amadeus,tt0086879
1984,57,Writing (Screenplay Based on Material from Another Medium),1,Peter Shaffer,,Amadeus,tt0086879
1984,57,Short Film (Animated),1,"Jon Minnis, Producer",,Charade,
1984,57,Foreign Language Film,1,Switzerland,,Dangerous Moves,
1984,57,Visual Effects,1,"Dennis Muren, Michael McAlister, Lorne Peterson, George Gibbs",,Indiana Jones and the Temple of Doom,
1984,57,Special Achievement Award (Sound Effects Editing),1,The River,,Kay Rose,
1984,57,Gordon E. Sawyer Award,1,Linwood G. Dunn,,NA,NA
1984,57,Honorary Award,1,James Stewart,,NA,NA
1984,57,Honorary Award,1,The National Endowment for the Arts,,NA,NA
1984,57,Jean Hersholt Humanitarian Award,1,David L. Wolper,,NA,NA
1984,57,Actress in a Leading Role,1,Sally Field,,Places in the Heart,
1984,57,Writing (Screenplay Written Directly for the Screen),1,Robert Benton,,Places in the Heart,
1984,57,Music (Original Song Score),1,Prince,,Purple Rain,
1984,57,Actor in a Supporting Role,1,Haing S. Ngor,,The Killing Fields,
1984,57,Cinematography,1,Chris Menges,,The Killing Fields,
1984,57,Film Editing,1,Jim Clark,,The Killing Fields,
1984,57,Documentary (Short Subject),1,"Marjorie Hunt and Paul Wagner, Producers",,The Stone Carvers,
1984,57,Documentary (Feature),1,"Robert Epstein and Richard Schmiechen, Producers",,The Times of Harvey Milk,
1984,57,Music (Original Song),1,Music and Lyric by Stevie Wonder,"""I Just Called To Say I Love You""",The Woman in Red,
1984,57,Short Film (Live Action),1,"Mike Hoover, Producer",,Up,
1985,58,Short Film (Animated),1,"Cilia Van Dijk, Producer",,Anna & Bella,
1985,58,Sound Effects Editing,1,"Charles L. Campbell, Robert Rutledge",,Back to the Future,
1985,58,Documentary (Feature),1,"Maria Florio and Victoria Mudd, Producers",,Broken Rainbow,
1985,58,Actor in a Supporting Role,1,Don Ameche,,Cocoon,
1985,58,Visual Effects,1,"Ken Ralston, Ralph McQuarrie, Scott Farrar, David Berry",,Cocoon,
1985,58,Actor in a Leading Role,1,William Hurt,,Kiss of the Spider Woman,
1985,58,Makeup,1,"Michael Westmore, Zoltan Elek",,Mask,
1985,58,Short Film (Live Action),1,"Jeff Brown and Chris Pelzer, Producers",,Molly's Pilgrim,
1985,58,Honorary Award,1,Paul Newman,,NA,NA
1985,58,Honorary Award,1,Alex North,,NA,NA
1985,58,Jean Hersholt Humanitarian Award,1,Charles 'Buddy' Rogers,,NA,NA
1985,58,Medal of Commendation,1,"John H. Whitney, Sr.",,NA,NA
1985,58,Art Direction,1,Art Direction: Stephen Grimes; Set Decoration: Josie MacAvin,,Out of Africa,tt0089755
1985,58,Best Picture,1,"Sydney Pollack, Producer",,Out of Africa,tt0089755
